电场名称,省,市,区,装机容量(MW),所属企业,所属集团
金槽风电,云南省,,,99.7,华电（曲靖）新能源开发有限公司,
金牛山风电场,云南省,,,112.25,中广核曲靖宣威风力发电有限公司,
金铜盆（含二期）,,,,80.0,云南国电电力富民风电开发有限公司,国家能源投资集团
金龙山风电,云南省,,,208.25,大唐(丘北)新能源有限公司,
铁厂坪风电场,云南省,丽江市,永胜县,75.0,华电云南发电有限公司,
铜厂风电场,云南省,玉溪市,易门县,25.0,华润新能源(易门)有限公司,
锁奔多风电场,云南省,大唐昆明市,,48.0,大唐昆明市西山新能源有限公司,大唐集团
锦屏西风电场,云南省,文山州,丘北县,150.0,华电云南发电有限公司+丘北光禾新能源有限公司（联合体）,
阿岗风电,云南省,,,160.0,国能龙源罗平新能源有限公司,
阿普、三台坡,,,,286.0,云南滇能智慧能源有限公司,国家电力投资集团
阿朝风电,云南省,,,370.0,红河云能投新能源开发有限公司,
阿朝风电场,云南省,,,104.55,红河云能投新能源开发有限公司,
阿用风电,云南省,,,200.0,大唐新能源富宁有限公司,
阿谷子风电场,云南省,丽江市,宁蒗县,59.5,云南能源投资股份有限公司,
陡坡梁子,,,,47.5,马龙协合风力发电有限公司,三峡集团
雪邦山（含二期）,,,,99.0,龙源大理风力发电有限公司,国家能源投资集团
雷应山（含二期）,,,,99.0,国能云南新能源有限公司,国家能源投资集团
青龙、禄脿,,,,166.0,华电(云南)新能源发电有限公司安宁分公司,华电集团
风摆山,,,,30.0,国电电力云南新能源开发有限公司昆明分公司,国家能源投资集团
马厂,,,,49.5,华能大理风力发电有限公司鹤庆分公司,华能集团
马塘（含三期）,,,,141.0,云南龙源新能源有限公司,国家能源投资集团
马者哨风电场,云南省,红河州,开远市,100.0,云南宏桥新能源有限公司,
马鞍山（含五期）,,,,228.0,华能大理风力发电有限公司洱源分公司,华能集团
骑龙山（含三期）,,,,147.0,大唐洱源凤羽风电有限责任公司,大唐集团
高本山,,,,49.5,大唐云南新能源有限公司,大唐集团
高美风电场,云南省,,,49.5,龙源丽江新能源有限公司,国家能源投资集团
麦子箐风电,云南省,,,100.0,大唐新能源(马关)有限公司,
黑巴风电场,云南省,,,38.0,云南华电大黑山风力发电有限公司黑巴分公司,华电集团
齐格风电场,云南省,红河州,弥勒市,80.0,云南宏桥新能源有限公司,
龙海古风电,云南省,,,52.0,国能元谋新能源有限公司,
