省,市,区,电场名称,电场类型,装机容量MW,企业,所属集团
云南省,红河哈尼族彝族自治州,绿春县,龙巴光伏发电项目,光伏,130,云南美科新能源发展有限公司、华能（福建）能源开发有限公司清洁能源分公司（联合体）,云南美科&华能
云南省,红河哈尼族彝族自治州,绿春县,罗布坝光伏发电项目,光伏,130,云南美科新能源发展有限公司、华能（福建）能源开发有限公司清洁能源分公司（联合体）,云南美科&华能
云南省,红河哈尼族彝族自治州,绿春县,罗马光伏发电项目,光伏,130,云南美科新能源发展有限公司、华能（福建）能源开发有限公司清洁能源分公司（联合体）,云南美科&华能
云南省,红河哈尼族彝族自治州,弥勒市,小龙潭光伏发电项目,光伏,50,云南省能源投资集团有限公司,云南能投
云南省,红河哈尼族彝族自治州,红河县,库博光伏发电项目,光伏,130,云南省能源投资集团有限公司,云南能投
云南省,红河哈尼族彝族自治州,红河县,补干光伏发电项目,光伏,130,中广核风电有限公司,中广核
云南省,红河哈尼族彝族自治州,红河县,扎垤光伏发电项目,光伏,40,中广核风电有限公司,中广核
云南省,红河哈尼族彝族自治州,河口县,莲花滩光伏发电项目,光伏,75,中广核风电有限公司,中广核
云南省,红河哈尼族彝族自治州,元阳县,马鹿塘光伏发电项目,光伏,30,深能南京能源控股有限公司,深圳能源
云南省,红河哈尼族彝族自治州,河口县,安家河光伏发电项目,光伏,60,深能南京能源控股有限公司,深圳能源
云南省,红河哈尼族彝族自治州,河口县,老范寨光伏发电项目,光伏,50,深能南京能源控股有限公司,深圳能源
云南省,楚雄市,,云甸零碳园区风电场（一期）,风电,81.25,,
云南省,楚雄市,,大荒山风电场,风电,50,,
云南省,楚雄市,,三棵山风电场（二期）,风电,100,,
云南省,楚雄市,,大黑山风电场,风电,120,,
云南省,楚雄市,,新村风电场,风电,37.5,,
云南省,双柏县,,白玉村风电场,风电,25,,
云南省,双柏县,,坝冲风电场,风电,50,,
云南省,牟定县,,凤屯风电场（二期）,风电,67.5,,
云南省,南华县,,罗文风电场,风电,44.8,,
云南省,南华县,,罗武庄风电场,风电,42.87,,
云南省,南华县,,金桂庄风电场,风电,43.75,,
云南省,南华县,,雨露铅厂风电场,风电,60,,
云南省,南华县,,石板河风电场,风电,53.6,,
云南省,南华县,,打挂山风电场（三期）,风电,37.5,,
云南省,武定县,,上利普风电场,风电,12.5,,
云南省,武定县,,旱蹉地风电场,风电,31.25,,
云南省,武定县,,大梁子风电场,风电,56.25,,
云南省,禄丰市,,赭帽山风电场,风电,43.2,,
云南省,禄丰市,,下麦地风电场,风电,30,,
云南省,禄丰市,,大箐沟风电场,风电,37.5,,
云南省,禄丰市,,大荒山风电场（二期）,风电,45,,
云南省,楚雄市,,大地基光伏发电项目,光伏,65,,
云南省,双柏县,,新村光伏发电项目,光伏,70,,
云南省,双柏县,,岔河光伏电站项目,光伏,60,,
云南省,双柏县,,白玉村光伏发电项目（二期）,光伏,15,,
云南省,牟定县,,新桥镇光伏发电项目（二期）,光伏,50,,
云南省,大姚县,,横山菁光伏发电项目,光伏,65,,
云南省,永仁县,,云峰光伏发电项目,光伏,70,,
云南省,永仁县,,小布租光伏发电项目,光伏,70,,
云南省,元谋县,,小中梁子光伏发电项目,光伏,20,,
云南省,武定县,,中山光伏发电项目,光伏,30,,
云南省,武定县,,新民光伏发电项目,光伏,30,,
云南省,武定县,,普康支光伏发电项目,光伏,70,,
云南省,武定县,,己衣中村光伏发电项目,光伏,100,,
云南省,禄丰市,,妥安光伏发电项目,光伏,160,,
云南省,丽江市,永胜县,汇源光伏发电项目（二期）,光伏,150,华能保山清洁能源有限公司,
云南省,丽江市,宁蒗县,泸沽湖机场光伏发电项目（一期）,光伏,21.76,云南省绿色能源产业集团有限公司,
云南省,丽江市,宁蒗县,沙力河光伏发电项目（二期）,光伏,50,华电云南发电有限公司,
云南省,丽江市,永胜县,落雪坪光伏发电项目（二期）,光伏,70,华能保山清洁能源有限公司,
云南省,文山州,马关县,浪桥光伏发电项目,光伏,100,中广核风电有限公司,中广核
云南省,文山州,马关县,仁和光伏发电项目,光伏,80,中电国际新能源控股有限公司,国家电投
云南省,文山州,马关县,都龙光伏发电项目,光伏,40,中电国际新能源控股有限公司,国家电投
云南省,文山州,马关县,大栗树光伏发电项目,光伏,50,中电国际新能源控股有限公司,国家电投
云南省,红河哈尼族彝族自治州,弥勒市,永宁风电场（五期）建设业主优选工作,风电,54,,
云南省,红河哈尼族彝族自治州,泸西县,永三风电场（三期）建设业主优选工作,风电,28.8,,
云南省,红河哈尼族彝族自治州,蒙自市,大石板光伏发电项目建设业主优选工作,光伏,70,,
云南省,红河哈尼族彝族自治州,蒙自市,他乍口光伏发电项目建设业主优选工作,光伏,30,,
云南省,红河哈尼族彝族自治州,个旧市,火谷都尾矿库光伏发电项目建设业主优选工作,光伏,40,,
云南省,红河哈尼族彝族自治州,弥勒市,打磨山光伏发电项目建设业主优选工作,光伏,80,,
云南省,红河哈尼族彝族自治州,金平县,大竹棚光伏发电项目建设业主优选工作,光伏,90,,
云南省,楚雄彝族自治州,元谋县,嘴窝箐光伏发电项目,光伏,80,,
云南省,楚雄彝族自治州,武定县,桃树梁子光伏项目,光伏,50,,
云南省,楚雄彝族自治州,南华县,五顶山光伏发电项目,光伏,25,,
